date,day_energy,thread_number,moon_phase,technique_category,technique,title,goal,hashtags
2026-04-01,Mercury,1,Waxing,Breathwork,Dragon Breath,Daily Calm – Dragon Breath Opener,Energize mind,"#dailycalm #breathwork #mindreset #mindfulness"
2026-04-02,Jupiter,2,Waxing,Meditation,Heart Gratitude,Daily Calm – Heart Gratitude Meditation,Cultivate appreciation,"#gratitude #dailycalm #mindfulness #heartcenter"
2026-04-03,Venus,3,Waxing,Journaling,Gratitude List,Daily Calm – Gratitude Journaling,Cultivate joy,"#gratitude #journaling #dailycalm #mindfulness"
2026-04-04,Saturn,4,Waxing,Breathwork,Square Breath,Daily Calm – Square Breath Grounding,Grounding and balance,"#breathwork #grounding #dailycalm #stressrelief"
2026-04-05,Sun,5,Waxing,Movement,Chest Expansion,Daily Calm – Chest Opening Reset,Vitality and posture,"#movement #posture #dailycalm #energy"
2026-04-06,Moon,6,Waxing,Breathwork,Sitali Breath,Daily Calm – Cooling Breath for Anxiety,Calm anxiety,"#anxietyrelief #breathwork #dailycalm #calming"
2026-04-07,Mars,7,Waxing,Movement,Shake Release,Daily Calm – Shake Out Stress,Release tension,"#stressrelease #movement #dailycalm"
2026-04-08,Mercury,8,Waxing,Communication,Active Listening,Daily Calm – Practice Active Listening,Improve clarity,"#communication #mindfulness #dailycalm"
2026-04-09,Jupiter,9,Waxing,Breathwork,Breath of Glow,Daily Calm – Glow Breath Detox,Clean lungs and skin,"#breathwork #detox #dailycalm"
2026-04-10,Venus,1,Waxing,Meditation,Silent Reset,Daily Calm – One Minute of Silence,Mental reset,"#meditation #mindreset #dailycalm"
2026-04-11,Saturn,2,Waxing,Movement,Neck Recovery,Daily Calm – Slow Neck Recovery,Release tension,"#neckpain #movement #dailycalm"
2026-04-12,Sun,3,Waxing,Journaling,Future Story,Daily Calm – Write the Future You Want,Vision and intention,"#journaling #manifest #dailycalm"
2026-04-13,Moon,4,Waning,Breathwork,Square Breath,Daily Calm – Breath to Let Go,Emotional release,"#lettinggo #breathwork #dailycalm"
2026-04-14,Mars,5,Waning,Breathwork,Dragon Breath,Daily Calm – Release Loneliness Breath,Release loneliness,"#loneliness #breathwork #dailycalm"
2026-04-15,Mercury,6,Waning,Breathwork,Sweeping Breath,Daily Calm – Clear the Mind Breath,Quiet thoughts,"#overthinking #breathwork #dailycalm"
2026-04-16,Jupiter,7,Waning,Journaling,Forgiveness Letter,Daily Calm – Forgiveness Journaling,Letting go,"#forgiveness #journaling #dailycalm"
2026-04-17,Venus,8,Waning,Breathwork,Three Point Breath,Daily Calm – Balanced Breath Reset,Emotional balance,"#breathwork #balance #dailycalm"
2026-04-18,Saturn,9,Waning,Meditation,Silent Reflection,Daily Calm – Sit With the Moment,Process heaviness,"#meditation #reflection #dailycalm"
2026-04-19,Sun,1,Waning,Movement,Chest Expansion,Daily Calm – Open the Heart Stretch,Open heart energy,"#movement #heartopening #dailycalm"
2026-04-20,Moon,2,Waning,Breathwork,Sitali Breath,Daily Calm – Calm Emotional Breath,Soothe emotions,"#calm #breathwork #dailycalm"
2026-04-21,Mars,3,Waning,Breathwork,Breath of Fire,Daily Calm – Ignite Your Energy,Rebuild energy,"#breathwork #energy #dailycalm"
2026-04-22,Mercury,4,Waning,Communication,Could vs Should,Daily Calm – Replace Should With Could,Reduce guilt,"#communication #mindset #dailycalm"
2026-04-23,Jupiter,5,Waning,Meditation,Heart Gratitude,Daily Calm – Gratitude Perspective Shift,Perspective and appreciation,"#gratitude #mindfulness #dailycalm"
2026-04-24,Venus,6,Waning,Movement,Pinky Thumb Trick,Daily Calm – Brain Coordination Trick,Lighten mood,"#brainexercise #movement #dailycalm"
2026-04-25,Saturn,7,Waning,Movement,Neck Recovery,Daily Calm – Neck Reset Practice,Release tension,"#neckpain #movement #dailycalm"
2026-04-26,Sun,8,Waning,Breathwork,Square Breath,Daily Calm – Grounding Breath Practice,Grounding,"#breathwork #grounding #dailycalm"
2026-04-27,Moon,9,Waxing,Journaling,Gratitude List,Daily Calm – Gratitude Reset,Nurture hope,"#gratitude #journaling #dailycalm"
2026-04-28,Mars,1,Waxing,Breathwork,Breath of Fire,Daily Calm – Energizing Breath,Initiative and drive,"#energy #breathwork #dailycalm"
2026-04-29,Mercury,2,Waxing,Communication,Active Listening,Daily Calm – Listen Before Responding,Connection,"#communication #listening #dailycalm"
2026-04-30,Jupiter,3,Waxing,Meditation,Third Eye Manifest,Daily Calm – Third Eye Visualization,Expansion and vision,"#manifestation #meditation #dailycalm"